site,campus,site_name_old,site_name_for_figures,latitude_originalfromVRG,longitude_originalfromVRG,latitude,longitude,site_campus_unique_ID,latitude_old,longitude_old,mpa_group,mpa_type,site_status,secondary_mpa,secondary_status,MLPA_longterm_in_proposal,STATE,mlpa_region,LongTermRegion,analysis_region_2,subregion,MXSRVYDPT_,YEAR_MPA,MPAAreaNM2,MPAShoreNM,CDIP_MOP,time_series_category,NOTES,survey_1999,survey_2000,survey_2001,survey_2002,survey_2003,survey_2004,survey_2005,survey_2006,survey_2007,survey_2008,survey_2009,survey_2010,survey_2011,survey_2012,survey_2013,survey_2014,survey_2015,survey_2016,survey_2017,survey_2018,survey_2019,survey_2020,survey_2021,survey_2022,survey_2023,SurveyYears
MACABEE_DC,UCSC,,Macabee DC,,,36.618184,-121.896835,MACABEE_DC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Edward F. Ricketts SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,16,2007,0,0,MO754,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z",", ,s,u,z","f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
MACABEE_UC,UCSC,,Macabee UC,,,36.617148,-121.895695,MACABEE_UC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Edward F. Ricketts SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,16.8,2007,0,0,MO754,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f, ,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z",", ,s,u,z","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
MacAbee,RCCA,Macabee,Macabee,,,36.61668972,-121.8967969,MacAbee RCCA,,,Edward F. Ricketts SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,ETS-location changed based on mapping,,,,,,,,,,,,,,,,,,,,,,,,,,0
SPANISH_BAY_DC,UCSC,,Spanish Bay DC,,,36.616662,-121.954606,SPANISH_BAY_DC UCSC,,,Asilomar SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,19.5,2007,0,0,MO713,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
CANNERY_DC,UCSC,,Cannery DC,,,36.614953,-121.896037,CANNERY_DC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Edward F. Ricketts SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,10.7,2007,0,0,MO755,1,,,,,,,,,,"f, ,s,u,z","f, ,s,u,",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,",,"f, ,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",13
Pt. Joe,RCCA,Point Joe,Point Joe,,,36.6132771,-121.9637259,Pt. Joe RCCA,,,Asilomar SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,ETS-Location changed based on mapping,,,,,,,,,,,,,,,,,,,,,,,,,,0
CANNERY_UC,UCSC,,Cannery UC,,,36.612639,-121.894574,CANNERY_UC UCSC,,,Lovers Point - Julia Platt SMR,SMR,reference,Edward F. Ricketts SMCA,mpa,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cannery Row,10.7,2007,0,0,MO756,1,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,",,"f, ,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",13
Breakwater,RCCA,,Breakwater,,,36.6105,-121.894,Breakwater RCCA,,,Edward F. Ricketts SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PT_JOE,UCSC,,Point Joe,,,36.605094,-121.971465,PT_JOE UCSC,,,Asilomar SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,25,0,0,0,MO701,3,ETS-MLPA status changed based on conversations with RCCA,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
CHINA_ROCK,UCSC,,China Rock,,,36.598436,-121.972419,CHINA_ROCK UCSC,,,Asilomar SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,21.9,0,0,0,MO697,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,",,,"f,c,s,u,",,,,,,,,,,,,,3
BIRD_ROCK,UCSC,,Bird Rock,,,36.59343,-121.97135,BIRD_ROCK UCSC,,,Asilomar SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,20.5,0,0,0,MO695,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
CYPRESS_PT_UC,UCSC,,Cypress Point UC,,,36.585774,-121.980331,CYPRESS_PT_UC UCSC,,,Asilomar SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Asilomar,20.2,0,0,0,MO684,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,,,,,,,,3
CYPRESS_PT_DC,UCSC,,Cypress Point DC,,,36.579645,-121.982468,CYPRESS_PT_DC UCSC,,,Carmel Bay SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,22.9,0,0,0,MO682,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,,"f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",10
LONE_TREE,UCSC,LONE_CYPRESS,Lone Tree,,,36.566418,-121.970688,LONE_TREE UCSC,,,Carmel Bay SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,22,0,0,0,MO674,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,"f,c,s,u,","f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",12
LINGCOD_UC,UCSC,,Lingcod UC,,,36.565485,-121.968571,LINGCOD_UC UCSC,,,Carmel Bay SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,20,0,0,0,MO674,,,,,"f,c,s,u,","f,c,s,u,","f, , , ,",,,,,,,,,,,,,,,,,,,,,3
Pescadero,RCCA,,Pescadero,,,36.5623,-121.96,Pescadero RCCA,,,Carmel Bay SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LINGCOD_DC,UCSC,,Lingcod DC,,,36.562028,-121.962185,LINGCOD_DC UCSC,,,Carmel Bay SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,20,0,0,0,MO669,,,,,"f,c,s,u,","f,c,s,u,","f, , , ,",,,,,,,,,,,,,,,,,,,,,3
PESCADERO_UC,UCSC,,Pescadero UC,,,36.561121,-121.959761,PESCADERO_UC UCSC,,,Carmel Bay SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,22,0,0,0,MO667,1,,,,,,"f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",20
Stillwater Cove Monterey,RCCA,Stillwater Monterey,Stillwater Monterey,,,36.5602,-121.946,Stillwater Cove Monterey RCCA,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
STILLWATER_UC,UCSC,,Stillwater UC,,,36.560116,-121.94732,STILLWATER_UC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,21.9,1933,0,0,MO663,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
STILLWATER_DC,UCSC,,Stillwater DC,,,36.559729,-121.944014,STILLWATER_DC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,19.8,1933,0,0,MO654,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,"f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
PINNACLES_IN,UCSC,,Pinnacles IN,,,36.559476,-121.966113,PINNACLES_IN UCSC,,,Carmel Pinnacles SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,21.65,2007,0,0,MO671,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,"f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,4
PESCADERO_DC,UCSC,,Pescadero DC,,,36.559412,-121.955191,PESCADERO_DC UCSC,,,Carmel Bay SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,20.7,0,0,0,MO665,1,,,,,,"f, ,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",21
PINNACLES_OUT,UCSC,,Pinnacles OUT,,,36.557936,-121.967737,PINNACLES_OUT UCSC,,,Carmel Pinnacles SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,21.9,2007,0,0,MO671,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,"f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,4
CARMEL_UC,UCSC,,Carmel UC,,,36.544064,-121.938865,CARMEL_UC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,22,1933,0,0,MO638,,,,,,,"f, , , ,",,,,,,,,,,,,,,,,,,,,,1
CARMEL_DC,UCSC,,Carmel DC,,,36.542364,-121.938197,CARMEL_DC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,20.4,1933,0,0,MO637,,,,,,,"f, , , ,",,,,,,,,,,,,,,,,,,,,,1
BUTTERFLY_UC,UCSC,,Butterfly UC,,,36.539655,-121.936297,BUTTERFLY_UC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,23.2,1933,0,0,MO637,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,z","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",15
Carmel River,RCCA,,Carmel River,,,36.5391,-121.935,Carmel River RCCA,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BUTTERFLY_DC,UCSC,,Butterfly DC,,,36.537439,-121.93567,BUTTERFLY_DC UCSC,,,Carmel Bay SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Carmel,20.4,1933,0,0,MO636,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",15
North Monastery,RCCA,N. Monastery,North Monastery,,,36.5268,-121.927,North Monastery RCCA,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MONASTERY_DC,UCSC,,Monastery DC,,,36.525415,-121.933322,MONASTERY_DC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21.3,2007,0,0,MO622,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",25
South Monastery,RCCA,,South Monastery,,,36.5253,-121.932,South Monastery RCCA,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MONASTERY_UC,UCSC,,Monastery UC,,,36.525267,-121.930507,MONASTERY_UC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,20.4,2007,0,0,MO626,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
BLUEFISH_DC,UCSC,,Bluefish DC,,,36.52381268,-121.945094,BLUEFISH_DC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21.4,1973,0,0,MO613,1,ETS-location changed based on mapping,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,"f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",24
Middle Reef,RCCA,,Middle Reef,,,36.5225,-121.939,Middle Reef RCCA,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BLUEFISH_UC,UCSC,,Bluefish UC,,,36.522225,-121.943542,BLUEFISH_UC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21,1973,0,0,MO615,1,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",25
WESTON_UC,UCSC,,Weston UC,,,36.512613,-121.948765,WESTON_UC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,23,1973,0,0,MO600,1,,,,"f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",23
Weston,RCCA,,Weston,,,36.5112,-121.946,Weston RCCA,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
WESTON_DC,UCSC,,Weston DC,,,36.510347,-121.945786,WESTON_DC UCSC,,,Point Lobos SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21.9,1973,0,0,MO598,1,,,,"f,c,s,u,","f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",", , ,u,","f,c,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",23
Malpaso Creek,RCCA,,Malpaso Creek,,,36.48,-121.939,Malpaso Creek RCCA,,,Point Lobos SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MALPASO,UCSC,,Malpaso,,,36.465747,-121.933984,MALPASO UCSC,,,Point Lobos SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21.9,0,0,0,MO566,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f, ,s,u,","f,c,s,u,","f,c,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",18
SOBERANES,UCSC,,Soberanes,,,36.445343,-121.929144,SOBERANES UCSC,,,Point Lobos SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21.4,0,0,0,MO550,1,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,z","f,c,s,u,",,"f, ,s,u,","f, ,s,u,",", ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",,,"f, ,s,u,",14
PALO_COLORADO,UCSC,,Palo Colorado,,,36.397717,-121.911431,PALO_COLORADO UCSC,,,Point Lobos SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,21,0,0,0,MO517,2,,,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,z","f,c,s,u,","f, ,s,u,",,,,"f, ,s,u,","f, , , ,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",,"f, ,s,u,",13
BIXBY,UCSC,HURRICANE_PT,Bixby,,,36.368468,-121.907499,BIXBY UCSC,,,Point Lobos SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Lobos,20.4,0,0,0,MO493,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,"f,c,s,u,","f, ,s,u,","f, ,s,u,",,"f, ,s,u,",6
PT_SUR_UC,UCSC,,Point Sur UC,,,36.291239,-121.898882,PT_SUR_UC UCSC,,,Point Sur SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,15.9,2007,0,0,MO443,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,,,,,1
Point Sur,RCCA,,Point Sur,,,36.2881,-121.893,Point Sur RCCA,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PT_SUR_DC,UCSC,,Point Sur DC,,,36.28307,-121.893321,PT_SUR_DC UCSC,,,Point Sur SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,14.9,2007,0,0,MO432,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,,,,,1
Andrew Molera,RCCA,,Andrew Molera,,,36.2785,-121.8809,Andrew Molera RCCA,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ANDREW_MOLERA_UC,UCSC,,Andrew Molera UC,,,36.277685,-121.875988,ANDREW_MOLERA_UC UCSC,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,20,2007,0,0,MO426,2,,,,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,",,,,,"f, , , ,","f, , , ,",,"f,c,s,u,","f, ,s,u,",,"f, , , ,","f, ,s,u,",14
FALSE_SUR,UCSC,,False Sur,,,36.277556,-121.886822,FALSE_SUR UCSC,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,22.3,2007,0,0,MO430,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",7
ANDREW_MOLERA_DC,UCSC,,Andrew Molera DC,,,36.276089,-121.873038,ANDREW_MOLERA_DC UCSC,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,21.3,2007,0,0,MO423,2,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,",,,,,"f, , , ,","f, , , ,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",16
ANDREW_MOLERA_OLD_DC,UCSC,,Andrew Molera Old DC,,,36.273592,-121.869709,ANDREW_MOLERA_OLD_DC UCSC,,,Point Sur SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,17.7,2007,0,0,MO422,,,,,,,"f,c,s,u,z",,,,,,,,,,,,,,,,,,,,,1
COOPER,UCSC,COOPER_PT,Cooper,,,36.263146,-121.856608,COOPER UCSC,,,Point Sur SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,20.9,2007,0,0,MO410,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,",,,,,,,,,"f, ,s,u,",,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",8
South Wreck,RCCA,,South Wreck,,,36.2264,-121.789,South Wreck RCCA,,,Point Sur SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SOUTH_WRECK_UC,UCSC,,South Wreck UC,,,36.225295,-121.790545,SOUTH_WRECK_UC UCSC,,,Point Sur SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,21,0,0,0,MO367,2,,,,,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,z","f,c,s,u,",,,,,,"f, , , ,",,"f,c,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",12
SOUTH_WRECK_DC,UCSC,,South Wreck DC,,,36.223864,-121.787408,SOUTH_WRECK_DC UCSC,,,Point Sur SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,21,0,0,0,MO367,2,,,,,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,"f,c,s,u,z","f,c,s,u,",,,,,,"f, , , ,","f, ,s,u,","f,c,s,u,","f, ,s,u,","f, ,s,u,","f, , , ,","f, ,s,u,",13
FULLERS,UCSC,,Fullers,,,36.208106,-121.752165,FULLERS UCSC,,,Point Sur SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,17.7,0,0,0,MO347,3,,,,,,,,,,"f, ,s,u,","f, ,s,u,",,,,,,,,,,,,,,,,2
Fullers,RCCA,,Fullers,,,36.2081,-121.752,Fullers RCCA,,,Point Sur SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TORRE_CANYON,UCSC,,Torre Canyon,,,36.184218,-121.707798,TORRE_CANYON UCSC,,,Point Sur SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt Sur,17.7,0,0,0,MO320,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,",,"f,c,s,u,",,,,,,,,,,,,,,3
PARTINGTON,UCSC,,Partington,,,36.1743,-121.699,PARTINGTON UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,19.8,0,0,0,MO311,,,,,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,1
MCWAY_UC,UCSC,,Mcway UC,,,36.166574,-121.685982,MCWAY_UC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,18.3,0,0,0,MO302,,,,,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,1
